08:38:43.696 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.crk.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
09:00:58.379 [cluster-ClusterId{value='695dd372639e1b4c2e9123c5', description='null'}-ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=207961667, setName='atlas-6425or-shard-0', canonicalAddress=ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, hosts=[ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=215, topologyVersion=TopologyVersion{processId=6942e0856c5c22d6723abc59, counter=4}, lastWriteDate=Wed Jan 07 09:00:58 IST 2026, lastUpdateTimeNanos=73612295501041}
09:00:58.462 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:888667}] to ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:00:58.629 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4f5c30b1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62e73ab6, org.springframework.security.web.context.SecurityContextPersistenceFilter@2abc55c4, org.springframework.security.web.header.HeaderWriterFilter@9785903, org.springframework.web.filter.CorsFilter@5d7f8467, org.springframework.security.web.authentication.logout.LogoutFilter@4c635edc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@45287377, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3bbb8c16, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ea71fc2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@29bd85db, org.springframework.security.web.session.SessionManagementFilter@149aa7b2, org.springframework.security.web.access.ExceptionTranslationFilter@9b2dc56, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@46612bfc]
09:00:58.859 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.crk.journalApp.service.UserServiceTests], using SpringBootContextLoader
09:00:58.859 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.crk.journalApp.service.UserServiceTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09:00:58.859 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.crk.journalApp.service.UserServiceTests]: UserServiceTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:00:58.861 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.crk.journalApp.JournalApplication for test class com.crk.journalApp.service.UserServiceTests
09:00:58.862 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
09:00:58.862 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@401926df, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ff8a3ad, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@550fa96f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@54275b5d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5d01b0d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@271e851e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@ff21443, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61e14b53, org.springframework.test.context.event.EventPublishingTestExecutionListener@31b6b0c7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6253e59a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7d1cb59f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@16ccd2bc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@12f8682a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6f7a20da, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7752c0e7]
09:05:36.996 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.crk.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
09:05:36.999 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.crk.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09:05:36.999 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.crk.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:05:37.038 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.crk.journalApp.JournalApplication for test class com.crk.journalApp.JournalAppApplicationTests
09:05:37.065 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
09:05:37.070 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@222eb8aa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@93cf163, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1852a3ff, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7203c7ff, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@25bfcafd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b6690c0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@46268f08, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2a76840c, org.springframework.test.context.event.EventPublishingTestExecutionListener@71454b9d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@eda25e5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7cf6a5f9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@623e088f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@39fcbef6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@66565121, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2fc6f97f]
09:05:37.351 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
09:05:37.368 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 2 MongoDB repository interfaces.
09:05:37.571 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.6.1"}, "platform": "Java/Eclipse Adoptium/17.0.17+10"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chinmaykhiste2006_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@3472947a]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster01c.hibgdkh.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-6425or-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
09:05:37.598 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-srv-cluster01c.hibgdkh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017 to client view of cluster
09:05:37.604 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-srv-cluster01c.hibgdkh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017 to client view of cluster
09:05:37.605 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-srv-cluster01c.hibgdkh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017 to client view of cluster
09:05:37.662 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@4ef4f627 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
09:05:37.874 [cluster-rtt-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:788564}] to ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017
09:05:37.874 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:788564}] to ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017
09:05:37.874 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:792802}] to ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017
09:05:37.874 [cluster-rtt-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:888584}] to ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:05:37.874 [cluster-rtt-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:792769}] to ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017
09:05:37.874 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:888765}] to ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:05:37.880 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=118181042, setName='atlas-6425or-shard-0', canonicalAddress=ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, hosts=[ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000eb, setVersion=215, topologyVersion=TopologyVersion{processId=6942e0c5eb7e682a3b8130f7, counter=6}, lastWriteDate=Wed Jan 07 09:05:37 IST 2026, lastUpdateTimeNanos=73891790869333}
09:05:37.880 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=118170375, setName='atlas-6425or-shard-0', canonicalAddress=ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017, hosts=[ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=215, topologyVersion=TopologyVersion{processId=6942e106ebe896785ed4d2f2, counter=3}, lastWriteDate=Wed Jan 07 09:05:37 IST 2026, lastUpdateTimeNanos=73891790861708}
09:05:37.880 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=118291333, setName='atlas-6425or-shard-0', canonicalAddress=ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, hosts=[ac-gphjrtp-shard-00-00.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017, ac-gphjrtp-shard-00-02.hibgdkh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=215, topologyVersion=TopologyVersion{processId=6942e0856c5c22d6723abc59, counter=4}, lastWriteDate=Wed Jan 07 09:05:37 IST 2026, lastUpdateTimeNanos=73891790991000}
09:05:37.882 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000000eb from replica set primary ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:05:37.882 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 215 from replica set primary ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:05:37.882 [cluster-ClusterId{value='695dd489baa892472698ab8f', description='null'}-ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:05:37.968 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:888765}] to ac-gphjrtp-shard-00-01.hibgdkh.mongodb.net:27017
09:05:38.123 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4861cca9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c8f4bc7, org.springframework.security.web.context.SecurityContextPersistenceFilter@1b46392c, org.springframework.security.web.header.HeaderWriterFilter@50cbcca7, org.springframework.web.filter.CorsFilter@714e861f, org.springframework.security.web.authentication.logout.LogoutFilter@96abc76, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6c07add6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1eb9bf60, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c71c889, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@28989415, org.springframework.security.web.session.SessionManagementFilter@7ac058a0, org.springframework.security.web.access.ExceptionTranslationFilter@5fb5ad40, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6793f752]
09:05:38.333 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.crk.journalApp.service.UserServiceTests], using SpringBootContextLoader
09:05:38.333 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.crk.journalApp.service.UserServiceTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09:05:38.333 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.crk.journalApp.service.UserServiceTests]: UserServiceTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:05:38.338 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.crk.journalApp.JournalApplication for test class com.crk.journalApp.service.UserServiceTests
09:05:38.339 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
09:05:38.339 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21abda60, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@dd20ebc, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6c70b7c3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@16a09809, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@69a73867, org.springframework.test.context.support.DirtiesContextTestExecutionListener@749d7c01, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1d3a03fe, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@f48a080, org.springframework.test.context.event.EventPublishingTestExecutionListener@5f7cd50e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@401ec794, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@d76099a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@47f0f414, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7e1d8d41, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4809c771, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@750e2d33]
09:10:03.155 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.crk.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
09:10:03.158 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.crk.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09:10:03.158 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.crk.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:10:03.196 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.crk.journalApp.JournalApplication for test class com.crk.journalApp.JournalAppApplicationTests
09:10:03.225 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
